中广热点, 这个中国广电的直播源本站长电信宽带测试并不是很流畅

  CCTV - 1 HD, http: //cbnlive.cbchot.com/live/yt_cctv1_h_1.m3u8?123
  CCTV - 2 HD, http: //cbnlive.cbchot.com/live/yt_cctv2_h_1.m3u8?123
  CCTV - 3 HD, http: //cbnlive.cbchot.com/live/yt_cctv3_h_1.m3u8?123
  CCTV - 4 HD, http: //cbnlive.cbchot.com/live/yt_cctv4zhongwenguoji_h_1.m3u8?123
  CCTV - 5 HD, http: //cbnlive.cbchot.com/live/ty_cctv5_h_1.m3u8?123
  CCTV5 + HD, http: //cbnlive.cbchot.com/live/ty_cctv5+_h_1.m3u8?123
  CCTV - 6 HD, http: //cbnlive.cbchot.com/live/yt_cctv6_h_1.m3u8?123
  CCTV - 7 HD, http: //cbnlive.cbchot.com/live/yt_cctv7_h_1.m3u8?123
  CCTV - 8 HD, http: //cbnlive.cbchot.com/live/ty_cctv8_h_1.m3u8?123
  CCTV - 9 HD, http: //cbnlive.cbchot.com/live/yt_cctv9_h_1.m3u8?123
  CCTV - 10 HD, http: //cbnlive.cbchot.com/live/yt_cctv10_h_1.m3u8?123
  CCTV - 12 HD, http: //cbnlive.cbchot.com/live/yt_cctv12_h_1.m3u8?123
  CCTV - 14 HD, http: //cbnlive.cbchot.com/live/yt_cctv14_h_1.m3u8?123
  4 K导视频道, http: //cbnlive.cbchot.com/live/4klocal_1.m3u8?123
  CCTV专区1, http: //cbnlive.cbchot.com/live/yszq1_1.m3u8?123
  CCTV专区2, http: //cbnlive.cbchot.com/live/yszq2_1.m3u8?123
  CCTV专区3, http: //cbnlive.cbchot.com/live/yszq3_1.m3u8?123
  中国交通HD, http: //cbnlive.cbchot.com/live/jiaotong_h_1.m3u8?123
  CHC高清电影, http: //cbnlive.cbchot.com/live/yt_chc_h_1.m3u8?123
  CHC动作电影, http: //cbnlive.cbchot.com/live/CHCAM_1.m3u8?123
  CHC家庭影院, http: //cbnlive.cbchot.com/live/CHCFM_1.m3u8?123
  CBN每日影院, http: //cbnlive.cbchot.com/live/meiriyingyuan_h1_1.m3u8?123
  CBN幸福剧场, http: //cbnlive.cbchot.com/live/xingfujuchang_h1_1.m3u8?123
  CBN幸福娱乐, http: //cbnlive.cbchot.com/live/xingfuyule_h1_1.m3u8?123
  CBN风尚生活, http: //cbnlive.cbchot.com/live/fengshangshenghuo_h1_1.m3u8?123
  中国广电情感影院, http: //cbnlive.cbchot.com/live/qingganyingyuan_1.m3u8?123
  中国广电华语影院, http: //cbnlive.cbchot.com/live/qingganyingyuan_1.m3u8?123
  中国广电经典剧场, http: //cbnlive.cbchot.com/live/jingdianjuchang_1.m3u8?123
  中国广电记录, http: //cbnlive.cbchot.com/live/jilupian_1.m3u8?123
  中国广电旅游, http: //cbnlive.cbchot.com/live/lvyou_1.m3u8?123
  中国广电卡通, http: //cbnlive.cbchot.com/live/shaoer_test_hd_1.m3u8?123
  中国广电嗨播, http: //cbnlive.cbchot.com/live/haibo_1.m3u8?123
  中国广电风尚运动, http: //cbnlive.cbchot.com/live/fengshangyundong_1.m3u8?123
  冰雪体育, http: //cbnlive.cbchot.com/live/bingxue1_1.m3u8?123
  马拉松, http: //cbnlive.cbchot.com/live/malasong_1.m3u8?123
  每日健身, http: //cbnlive.cbchot.com/live/jianshen_1.m3u8?123
  北京卫视HD, http: //cbnlive.cbchot.com/live/bjswsyth_1.m3u8?123
  北京新闻HD, http: //cbnlive.cbchot.com/live/bjxwyth_1.m3u8?123
  北京影视HD, http: //cbnlive.cbchot.com/live/bjysyth_1.m3u8?123
  北京文艺HD, http: //cbnlive.cbchot.com/live/bjwyyth_1.m3u8?123
  北京纪实HD, http: //cbnlive.cbchot.com/live/byjsyt-h_1.m3u8?123
