华北科技学院IPTV,网址链接 http://tv.ncist.edu.cn/
cctv1hd,http://tv.ncist.edu.cn:281/live/cctv1hd.flv
cctv2hd,http://tv.ncist.edu.cn:281/live/cctv2hd.flv
cctv3hd,http://tv.ncist.edu.cn:281/live/cctv3hd.flv
cctv4hd,http://tv.ncist.edu.cn:281/live/cctv4hd.flv
cctv5hd,http://tv.ncist.edu.cn:281/live/cctv5hd.flv
cctv5+hd,http://tv.ncist.edu.cn:281/live/cctv5HD.flv
cctv6hd,http://tv.ncist.edu.cn:281/live/cctv6hd.flv
cctv7hd,http://tv.ncist.edu.cn:281/live/cctv7hd.flv
cctv8hd,http://tv.ncist.edu.cn:281/live/cctv8hdd.flv
cctv9hd,http://tv.ncist.edu.cn:281/live/cctv9hd.flv
cctv10hd,http://tv.ncist.edu.cn:281/live/cctv10hd.flv
cctv12hd,http://tv.ncist.edu.cn:281/live/cctv12hd.flv
